"cshtml","PageCssPath","desktop","mobile","score","fe","pri"
"Views/Paneller/User/Favorites.cshtml","","(controller PageCssPath)","via layout","2","fe-user","P1"
"Views/Paneller/User/Loyalty.cshtml","","(controller PageCssPath)","via layout","2","fe-user","P1"
"Views/Paneller/User/Messages.cshtml","","(controller PageCssPath)","via layout","2","fe-user","P1"
"Views/Paneller/User/Notifications.cshtml","","(controller PageCssPath)","via layout","2","fe-user","P1"
"Views/Paneller/User/PaymentMethods.cshtml","","(controller PageCssPath)","via layout","2","fe-user","P1"
"Views/Paneller/User/Profile.cshtml","","(controller PageCssPath)","via layout","2","fe-user","P1"
"Views/Paneller/User/ReservationReview.cshtml","","(controller PageCssPath)","via layout","2","fe-user","P1"
"Views/Paneller/User/Reservations.cshtml","","(controller PageCssPath)","via layout","2","fe-user","P1"
"Views/Paneller/User/Reviews.cshtml","","(controller PageCssPath)","via layout","2","fe-user","P1"
"Views/Paneller/User/Security.cshtml","","(controller PageCssPath)","via layout","2","fe-user","P1"
"Views/Register/_ContractPopupModal.cshtml","","(layout/shell)","yes","4","fe-other","P3"
"Views/Register/_FirmaRegisterForm.cshtml","","(layout/shell)","yes","4","fe-other","P3"
"Views/Register/_PartnerRegisterForm.cshtml","","(layout/shell)","yes","4","fe-other","P3"
"Views/Register/_UserRegisterForm.cshtml","","(layout/shell)","yes","4","fe-other","P3"
"Views/SeyahatPlanlama/Index.cshtml","","seyahat-planlama.css","MISSING","1","fe-other","P2"
"Views/Shared/_ActiveReservationDraftBanner.cshtml","","(layout/shell)","yes","4","fe-other","P3"
"Views/Shared/_AuthTablerLayout.cshtml","","(layout/shell)","yes","4","fe-other","P3"
"Views/Shared/_DevelopmentGateOverlay.cshtml","","(layout/shell)","yes","4","fe-other","P3"
"Views/Shared/_FavoriteToggleScriptPartial.cshtml","","(layout/shell)","yes","4","fe-other","P3"
"Views/Shared/_HeaderBildiri.cshtml","","(layout/shell)","yes","4","fe-other","P3"
"Views/Shared/_Layout.cshtml","","(layout/shell)","yes","4","fe-other","P3"
"Views/Shared/_PublicHeaderUserActions.cshtml","","(layout/shell)","yes","4","fe-other","P3"
"Views/Shared/_ReservationDraftCancelButton.cshtml","","(layout/shell)","yes","4","fe-other","P3"
"Views/Shared/_SlaytGorsel.cshtml","","(layout/shell)","yes","4","fe-other","P3"
"Views/Shared/_ValidationScriptsPartial.cshtml","","(layout/shell)","yes","4","fe-other","P3"
"Views/Shared/Error.cshtml","","-","MISSING","1","fe-other","P3"
"Views/Shared/StatusCode.cshtml","","-","MISSING","1","fe-other","P3"
"Views/Shared/yanbar.cshtml","","-","MISSING","1","fe-other","P3"
